league_key,league_name,season,top5_avg,top10_avg,whole_avg,source_system,source_url,as_of_date,confidence,note
JLEAGUE,J1 League (Japan),2022-23,74.8669,73.1582,70.9224,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=18
JLEAGUE,J1 League (Japan),2023-24,76.4487,75.3337,73.0531,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=20
JLEAGUE,J1 League (Japan),2024-25,80.5039,79.3589,77.4091,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=20
KAZAKH,Kazakhstani Premier League,2022-23,72.3736,69.7587,57.2642,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=33
KAZAKH,Kazakhstani Premier League,2023-24,69.4616,67.1157,53.1255,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=34
KAZAKH,Kazakhstani Premier League,2024-25,73.2265,70.2222,58.8217,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=31
KOREAN,K League 1,2022-23,74.543,72.4025,71.5427,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=12
KOREAN,K League 1,2023-24,75.3766,73.8412,73.2446,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=12
KOREAN,K League 1,2024-25,76.688,75.2993,74.5829,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=12
LA_LIGA,Primera División (Spain),2022-23,90.5153,87.4728,84.1542,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=20
